Strategy,Multiplier,Threads,Time_seconds,Speedup,Efficiency_percent
Chunk based,1,16,4.801070,1.235141,7.719634
Chunk based,2,16,7.328587,1.410913,8.818207
Chunk based,3,16,10.063444,1.493524,9.334528
Chunk based,4,16,11.554917,1.714422,10.715135
Chunk based,5,16,12.894797,1.882155,11.763466
Chunk based,6,16,13.033928,2.363831,14.773943
Chunk based,7,16,15.330950,2.402982,15.018639
Chunk based,8,16,17.571022,2.276475,14.227971
Chunk based,9,16,16.904877,2.719925,16.999533
Chunk based,10,16,18.197698,2.721223,17.007646
Document Level,1,16,5.082479,1.166753,7.292209
Document Level,2,16,6.523987,1.584920,9.905753
Document Level,3,16,8.167690,1.840178,11.501110
Document Level,4,16,10.230224,1.936419,12.102619
Document Level,5,16,11.196243,2.167691,13.548071
Document Level,6,16,11.580085,2.660602,16.628763
Document Level,7,16,13.201058,2.790685,17.441784
Document Level,8,16,13.532690,2.955805,18.473784
Document Level,9,16,12.777449,3.598527,22.490796
Document Level,10,16,13.040418,3.797424,23.733901
Fine-grained-locking,1,16,5.726877,1.035468,6.471677
Fine-grained-locking,2,16,6.821976,1.515690,9.473062
Fine-grained-locking,3,16,7.666593,1.960454,12.252836
Fine-grained-locking,4,16,8.909722,2.223414,13.896337
Fine-grained-locking,5,16,9.768845,2.484429,15.527680
Fine-grained-locking,6,16,10.916800,2.822256,17.639097
Fine-grained-locking,7,16,11.879368,3.101175,19.382344
Fine-grained-locking,8,16,13.329013,3.000972,18.756077
Fine-grained-locking,9,16,13.962778,3.293041,20.581506
Fine-grained-locking,10,16,14.941806,3.314191,20.713694
